方案,总完工时间(h),理论下界(min),理论下界(h),产能效率(LB/Cmax),产能缺口((Cmax-LB)/LB),加权平均齐套跨度(h),最大齐套跨度(h),切割负载差(h),切割前等待总时间(min),切割前等待总时间(h),齐套等待总时间(min),齐套等待总时间(h),总等待时间(min),总等待时间(h),平均钢板等待时间(h),等待占比,胎架累计空闲时间(min),胎架累计空闲时间(h),整体产能(张板/班),切割机综合稼动率,切割机纯切割稼动率,切割机班次稼动率,总切割工时(min),纯切割工时(min),切割机平均利用率,坡口缓存区峰值占用率,半框缓存区峰值占用率,齐套缓存区峰值占用率,坡口工作站峰值占用率,死锁警告数,死锁详情,AGV路径冲突次数,AGV冲突等待总时间(min),AGV死锁风险事件数,AGV死锁详情,AGV1运输时间(min),AGV2运输时间(min),天车工作时间(min),天车AGV冲突次数,N2利用率,N5利用率,N2码垛峰值占用率,N5码垛峰值占用率,AGV1利用率,AGV2利用率,人工坡口1利用率,人工打磨N21利用率,人工打磨N51利用率,天车利用率,自动分拣N21利用率,自动分拣N51利用率,自动坡口1利用率,自动打磨N21利用率,自动打磨N51利用率,总完工时间(h)改善率,加权平均齐套跨度(h)改善率,最大齐套跨度(h)改善率,切割负载差(h)改善率,整体产能(张板/班)改善率
FIFO基线,63.43812032684462,3057.4553,50.9576,0.8033,0.2449,13.89017111059352,27.807976191150605,0.6297842274090802,3025.2489,50.4208,174513.4573,2908.5576,177538.7062,2958.9784,27.1466,46.6435,1155.4858,19.2581,13.745678395061187,0.8032644718491483,0.760309226864582,0.796212315928837,6114.910586333468,5787.910586333467,0.8032644718491483,0.3333333333333333,0.8571428571428571,0.5625,1.1428571428571428,0,[],1,2.21,0,[],115.5,115.5,1491.0,0,0.7983007038168964,0.8082282398814001,0.0,0.05555555555555555,0.06843939644329967,0.0742739137771748,0.24779979796072063,0.0234946374368133,0.028281155037314678,0.39172030747393405,0.23080023900294577,0.2738232665759275,0.1114342622132653,0.16766938658899433,0.18912827025443021,,,,,
齐套感知优化,59.21769533240518,3057.4553,50.9576,0.8605,0.1621,11.397944902363054,26.643069817918626,2.612956185301573,2649.3133,44.1552,164884.2315,2748.0705,167533.5448,2792.2257,25.6167,47.1519,1164.8808,19.4147,14.725328216595136,0.8605128574053182,0.8144962067284583,0.7962123159288369,6114.910586333467,5787.910586333466,0.8605128574053182,0.3333333333333333,0.8571428571428571,0.5625,0.5714285714285714,0,[],0,0.0,0,[],121.0,121.0,1486.0,0,0.838450565292848,0.8825751495177885,0.0,0.0,0.06779843164947581,0.07559135482757648,0.24500877841904442,0.024453800555867485,0.02673883063334268,0.3860094614219197,0.20428137629018792,0.29074097556963907,0.1101791554455891,0.14646496982845641,0.20423588956454303,0.06652821635784685,0.17942372260120953,0.041891087838412694,-3.148970507011937,0.0712696596979845
